Model,MAE,RMSE,R2,Mean_Error,Median_Absolute_Error
Tuned Gradient Boosting,4.299410152233115,5.193324727632956,0.13193578697298292,0.3582003822112021,3.8435050643641446
Tuned Random Forest,4.3526133639716225,5.414487878134916,0.056426650916134635,-0.3197575584113992,4.200342857142848
Tuned Extra Trees,4.554584667257692,5.571981870754915,0.0007359028616603647,-0.09566515508487003,4.269595238095231
Tuned Support Vector Regression,5.589552704461288,6.9101541055014915,-0.5368672639485306,0.9053818155433389,4.890717550595726
