Condition,Outer_Fold,Test_Subject,Number_of_Features,MAE,RMSE,R2
Without Acceleration,1,B,21,4.261072557627587,5.388995789979268,-1.5858670076533259
Without Acceleration,2,C,21,6.174348441263847,7.1293891258087685,-0.21404910765605867
Without Acceleration,3,D,21,3.22619642221254,4.274395920058078,-0.782677193545992
Without Acceleration,4,E,21,4.024213501906995,4.783287464159282,-2.1917782470445077
Without Acceleration,5,F,21,5.45016763105897,6.2715974921281585,0.0066846932976200035
Without Acceleration,6,G,21,4.587540475884914,5.330355495078366,-0.05820073385147606
Without Acceleration,7,H,21,4.1146827666550125,4.763936991604953,-0.7606746051188553
Without Acceleration,8,I,21,4.794348775161144,5.810783124023494,0.023893450745856026
