Condition,Outer_Fold,Test_Subject,Number_of_Features,MAE,RMSE,R2
Without Idle,1,B,25,4.197880165467226,5.187042482687014,-1.3956871665999873
Without Idle,2,C,25,5.602980737476703,7.222193352695458,-0.24586170757289283
Without Idle,3,D,25,3.3976414732582394,4.3148283897687065,-0.8165621888376635
Without Idle,4,E,25,4.709079947933022,5.627724533066979,-3.4182003916985426
Without Idle,5,F,25,5.812261959203099,6.57232233513077,-0.09085865633429946
Without Idle,6,G,25,4.498198007057114,5.124882195658767,0.02180940337503834
Without Idle,7,H,25,5.028684157608959,5.6237832323083685,-1.4536026256006793
Without Idle,8,I,25,5.390952262371836,6.523473641970638,-0.23022831207921235
